"X","Y"
13.58801,11.0956
9.878124,12.55918
14.65398,10.18044
15.22057,9.993003
13.16265,12.96319
13.80617,8.889046
13.10214,10.56081
11.00403,11.86713
15.15475,11.70451
11.12639,9.643859
11.7104,13.59038
12.34107,11.48214
10.58664,11.86681
14.56957,10.57711
16.56765,14.32268
9.511439,10.67225
13.33699,10.70585
15.03486,10.19459
15.13973,10.04012
10.87104,9.823215
12.54631,11.9826
11.82367,11.7979
12.19227,10.38389
13.87589,12.75045
12.30798,11.85122
10.97379,11.85359
10.98912,9.759229
13.50803,13.34022
10.80653,11.66098
12.20569,13.64252
13.89933,13.98826
12.51938,11.61548
15.74902,12.65131
12.85563,9.896143
12.98866,10.1677
13.6861,11.40649
13.08889,11.11662
13.42064,11.08226
14.75734,9.368398
13.205,13.16882
9.847669,12.53263
12.53966,12.00474
13.40522,10.24531
14.43222,11.61986
15.98592,14.18579
10.8983,12.01404
12.54032,13.41382
15.84175,12.38042
16.54906,14.34902
11.19962,8.586758
15.77734,12.17214
11.01652,9.782825
11.68324,13.5818
11.54616,12.27906
11.79539,15.07723
13.04533,13.88243
14.14244,13.1333
14.84649,10.01118
12.58271,11.01057
14.63834,12.92149
12.47289,11.21463
14.4973,8.744322
9.224811,10.83608
17.93893,7.189272
11.17129,14.73371
9.487955,10.70568
10.80275,9.933474
16.06981,14.11234
10.38257,10.56815
13.68547,8.984794
15.80461,13.92831
12.17318,11.80932
11.49627,10.73456
15.40609,11.19265
15.91103,12.20705
10.1881,11.91827
14.0004,12.77549
16.54684,11.39338
17.51501,11.22888
13.77803,8.864945
14.11088,10.56043
14.68581,11.45555
12.57377,13.43932
11.70552,10.36466
14.36912,12.55025
15.21281,16.9593
15.81613,13.89809
13.89643,12.72108
15.18307,11.5893
13.17116,12.932
12.65285,11.26382
15.13931,13.20189
12.8446,11.61027
13.55442,13.17523
14.02949,13.07497
15.43982,13.27819
14.84585,14.86907
10.27732,11.36702
10.52977,11.62937
9.933102,12.30593
14.15951,9.238947
13.61841,12.54927
14.95599,9.839847
15.69362,12.38079
9.200059,11.97217
16.83013,11.39388
13.31452,10.31512
10.56304,11.58176
8.311067,7.202524
13.39306,13.03761
14.51838,8.716039
16.80886,11.42717
14.71134,11.91757
10.31367,11.38647
13.15651,11.15159
9.083952,13.21588
15.19022,9.974836
8.436085,7.393596
15.34814,9.820333
13.31339,12.3789
13.23216,9.731717
12.55331,11.54684
13.89099,10.95253
13.49273,12.51423
15.24806,16.97276
11.58812,11.09262
9.442908,10.76749
11.36395,9.602994
11.15694,14.775
11.89653,10.2304
15.01308,10.21483
13.61045,11.49483
14.1069,13.60306
10.46296,11.20981
10.30772,9.4627
13.77892,12.69592
13.41328,12.42838
12.56326,11.04593
15.66159,13.93562
13.83545,8.909176
13.22668,12.33923
15.11869,10.0674
13.24604,10.51404
14.62721,11.42144
14.38883,10.29258
15.02184,14.11212
13.14793,10.59459
13.39042,8.81647
11.77328,9.525179
16.04067,14.35417
10.62561,10.92979
14.55994,10.6003
9.327332,12.16842
14.50837,11.50046
10.52485,12.31847
13.9858,12.80076
10.55035,11.602
10.64812,11.70659
15.7345,6.090047
11.8024,11.16029
11.76803,10.26851
11.57369,11.1289
15.76205,14.02013
10.6587,11.67938
13.40605,13.28477
11.24757,11.45161
15.53659,12.76087
14.02418,10.70804
13.39872,12.45665
14.57784,16.18932
15.32621,13.43324
14.47304,8.777501
11.39957,9.887847
12.48731,11.17735
13.78123,11.1606
10.56813,11.02786
10.53582,11.01035
14.75957,10.75233
14.2318,12.04069
13.34694,11.97577
10.43855,11.80709
12.51876,10.58196
14.99982,11.99344
10.64479,9.882927
13.12517,11.13206
10.0868,11.47022
11.2153,11.4361
12.9097,11.73742
12.17253,9.965585
12.44094,11.28124
11.9171,10.20203
11.47169,11.38392
11.65302,13.57026
12.45562,11.50935
14.77868,12.31298
14.018,12.74917
12.50406,13.39938
9.217884,12.33342
10.39745,11.306
12.74603,9.155196
9.105901,6.343998
8.342558,7.136541
15.31736,13.56758
11.18297,11.41759
11.78689,11.19158
12.7135,11.30091
11.76649,11.22997
12.17855,13.63494
12.68321,11.28437
13.62292,13.38845
8.812553,15.13408
12.22264,11.33782
16.18479,14.29076
12.8446,11.61027
13.60953,13.42772
12.69358,10.21487
15.025,11.85505
13.91299,12.69277
13.60802,9.07513
12.47179,13.01132
9.870624,12.40407
17.5951,7.335869
11.10299,11.11242
16.66206,14.40429
9.693037,11.00984
13.40353,13.00439
13.12842,10.58083
13.7408,10.07836
11.67779,11.12924
13.14523,11.81876
13.1237,11.84915
12.29844,11.88042
14.90404,12.763
11.53711,12.58766
12.87284,11.62384
11.04585,11.23151
15.77554,13.98787
12.90019,10.33882
12.31552,11.51159
9.794394,11.77236
12.65285,11.26382
12.67759,12.0546
15.9603,9.162499
11.03126,11.87971
14.08877,9.337553
11.0271,11.74557
14.54157,8.684826
15.55098,11.28022
9.579331,11.78081
15.46573,11.09663
14.44191,12.15951
11.38291,9.910148
13.74064,11.31248
11.39099,11.03369
16.01572,9.072348
9.921976,11.86345
10.80179,9.687121
12.6326,11.62268
9.262066,10.66323
13.78464,13.81561
13.75736,13.79555
14.70788,9.969954
15.29153,10.04976
14.14686,12.42262
13.76823,10.09442
10.9726,11.34485
12.36505,10.48427
14.81631,10.04214
15.04986,13.61393
15.36158,13.45471
12.793,14.31211
11.324,9.79492
10.45107,11.77685
11.01349,11.211
13.38261,9.455654
10.33884,11.39608
9.610787,11.80735
14.54691,12.2733
11.45123,11.4183
12.74049,10.73864
14.95969,11.96889
12.31692,14.83151
12.88335,10.78442
15.2704,9.139883
15.77505,9.566566
13.06382,13.85009
12.92922,11.70606
15.28385,12.10795
13.01865,11.78975
12.45943,11.2489
15.76892,12.95444
14.03004,13.35564
12.98116,14.37319
13.8822,14.63515
10.93752,9.725004
16.02412,14.00992
15.09569,10.09361
13.46457,12.56776
11.58543,12.29345
10.69892,12.00221
16.8394,11.6017
13.90569,14.60172
13.70339,11.11278
13.28895,9.631591
15.6604,12.3693
15.46487,11.2269
10.99125,11.19733
15.50104,11.11599
11.70601,9.637946
12.35546,11.44285
11.12872,11.52963
9.595812,10.9393
8.325407,7.166975
14.00061,13.33951
13.24529,12.99792
15.28504,9.337882
15.4973,11.24314
15.38694,7.330029
16.05814,14.31984
12.3847,13.69473
12.18887,11.78904
15.12332,11.68831
13.95376,12.86237
9.618408,10.91289
16.29265,14.33811
12.64394,10.64805
10.49377,12.87479
13.97831,12.83293
15.52151,11.26509
10.96399,11.18275
13.29801,12.91595
13.91508,13.56587
13.31653,9.643641
12.74707,10.7125
15.44155,11.208
